"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"128",10899,"C0204F033",45.29,1.617319877,"measured",0,6,"",1061,-120.77,39.2,"F","CA"
"129",10904,"C0204F034",17.82,1.617319877,"measured",0,5,"sl",1061,-120.77,39.2,"F","CA"
"130",10985,"C0204F101",49.39,1.617319877,"measured",0,5,"",NA,-120.7,39.25,"F","CA"
"131",10990,"C0204F102",51.72,1.617319877,"measured",0,7,"",NA,-120.7,39.25,"F","CA"
"132",10994,"C0204F103",42.79,1.617319877,"measured",0,5,"",NA,-120.7,39.25,"F","CA"
"133",10999,"C0204F104",55.08,1.617319877,"measured",0,5,"",NA,-120.7,39.25,"F","CA"
"134",11004,"C0204F105",51.95,1.617319877,"measured",0,8,"",NA,-120.7,39.25,"F","CA"
"135",11008,"C0204F111",30.77,1.617319877,"measured",0,3,"",150,-120.52,35.16,"F","CA"
"136",11013,"C0204F112",30.56,1.617319877,"measured",0,2,"",150,-120.52,35.16,"F","CA"
"137",11021,"C0204F114",21.51,1.617319877,"measured",0,3,"",150,-120.52,35.16,"F","CA"
"138",11025,"C0204F115",40.61,1.617319877,"measured",0,2,"",150,-120.52,35.16,"F","CA"
"139",11205,"C0204R021",1.71,1.617319877,"measured",0,5,"l",190,-122.4,39.53,"R","CA"
"140",11535,"C0204X991",1.8,1.617319877,"measured",0,4,"sl",26,-121.89,38.78,"X","CA"
"141",11687,"C0205R021",42.86,1.617319877,"measured",0,1,"",385,-120.52,35.14,"R","CA"
"142",11694,"C0205R022",43.6,1.617319877,"measured",0,1,"",385,-120.52,35.14,"R","CA"
"143",11700,"C0205R023",44.25,1.617319877,"measured",0,1,"",385,-120.52,35.14,"R","CA"
"144",11704,"C0205R024",40.05,1.617319877,"measured",0,1,"",385,-120.52,35.14,"R","CA"
"145",11709,"C0205R025",44.34,1.617319877,"measured",0,1,"",385,-120.52,35.14,"R","CA"
"146",11783,"C0206C011",1.9,1.617319877,"measured",0,5,"c",19,-122.2,39.21,"C","CA"
"147",11933,"C0206F011",13.05,1.617319877,"measured",0,3,"",59,-123.76,39.35,"F","CA"
"148",11941,"C0206F012",18.14,1.617319877,"measured",0,2,"",59,-123.76,39.35,"F","CA"
"149",11952,"C0206F014",20.15,1.617319877,"measured",0,7,"",59,-123.76,39.35,"F","CA"
"150",11959,"C0206F015",22.1,1.617319877,"measured",0,4,"",59,-123.76,39.35,"F","CA"
"151",12032,"C0206F042",27.28,1.617319877,"measured",0,3,"",134,-123.77,39.27,"F","CA"
"152",12050,"C0206F045",30.49,1.617319877,"measured",0,7,"fsl",134,-123.77,39.27,"F","CA"
"153",12055,"C0206F061",27.93,1.617319877,"measured",0,4,"",40,-123.78,39.46,"F","CA"
"154",12062,"C0206F062",41.03,1.617319877,"measured",0,9,"",40,-123.78,39.46,"F","CA"
"155",12069,"C0206F063",32.45,1.617319877,"measured",0,3,"",40,-123.78,39.46,"F","CA"
"156",12075,"C0206F064",32.78,1.617319877,"measured",0,9,"",40,-123.78,39.46,"F","CA"
"157",12869,"C0208F101",43.92,1.617319877,"measured",0,3,"",204,-122.18,38.73,"F","CA"
"158",12877,"C0208F102",25.25,1.617319877,"measured",0,1,"",204,-122.18,38.73,"F","CA"
"159",12892,"C0208F104",27.57,1.617319877,"measured",0,2,"",204,-122.18,38.73,"F","CA"
"160",12899,"C0208F105",28.92,1.617319877,"measured",0,2,"",204,-122.18,38.73,"F","CA"
"161",12905,"C0208F111",28.28,1.617319877,"measured",0,1,"",542,-121.61,37.49,"F","CA"
"162",12911,"C0208F112",32.18,1.617319877,"measured",0,1,"",542,-121.61,37.49,"F","CA"
"163",12916,"C0208F113",37.43,1.617319877,"measured",0,1,"",542,-121.61,37.49,"F","CA"
"164",12920,"C0208F114",43.77,1.617319877,"measured",0,1,"",542,-121.61,37.49,"F","CA"
"165",12926,"C0208F115",41.83,1.617319877,"measured",0,1,"",542,-121.61,37.49,"F","CA"
"166",13414,"C0209F041",44.49,1.617319877,"measured",0,3,"",716,-121.69,37.45,"F","CA"
"167",13437,"C0209F045",19.95,1.617319877,"measured",0,2,"",716,-121.69,37.45,"F","CA"
"168",13542,"C0209F101",38.74,1.617319877,"measured",0,5,"",963,-123,40.64,"F","CA"
"169",13553,"C0209F103",15.91,1.617319877,"measured",0,5,"",963,-123,40.64,"F","CA"
"170",13558,"C0209F104",43.95,1.617319877,"measured",0,7,"",963,-123,40.64,"F","CA"
"171",13688,"C0209F162",30.02,1.617319877,"measured",0,3,"",NA,-120.98,39.01,"F","CA"
"172",13693,"C0209F163",46.24,1.617319877,"measured",0,4,"",NA,-120.98,39.01,"F","CA"
"173",13697,"C0209F164",49.58,1.617319877,"measured",0,5,"",NA,-120.98,39.01,"F","CA"
"174",13701,"C0209F165",36.84,1.617319877,"measured",0,5,"",NA,-120.98,39.01,"F","CA"
"175",13855,"C0209P011",1.82,1.617319877,"measured",0,5,"l",126,-120.18,34.63,"P","CA"
"176",14680,"C0211F011",48.26,1.617319877,"measured",0,3,"",2124,-120.2,39.15,"F","CA"
"177",14685,"C0211F012",53.37,1.617319877,"measured",0,7,"",2124,-120.2,39.15,"F","CA"
"178",14689,"C0211F013",53.03,1.617319877,"measured",0,2,"",2124,-120.2,39.15,"F","CA"
"179",14694,"C0211F014",50.83,1.617319877,"measured",0,2,"",2124,-120.2,39.15,"F","CA"
