"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"204",123197,"C1507F315",1.863739942,1.15866103,"modeled",0,16,"",NA,-87.81,31.56,"F","AL"
"205",123200,"C1507F321",3.324116215,2.066556513,"modeled",0,10,"ls",116,-87.27,31.43,"F","AL"
"206",123204,"C1507F322",3.236328386,2.011980049,"modeled",0,12,"ls",116,-87.27,31.43,"F","AL"
"207",123208,"C1507F323",2.802620562,1.742349967,"modeled",0,9,"ls",116,-87.27,31.43,"F","AL"
"208",123211,"C1507F324",2.371985931,1.474630445,"modeled",0,8,"ls",116,-87.27,31.43,"F","AL"
"209",123214,"C1507F325",4.015123604,2.496146133,"modeled",0,7,"ls",116,-87.27,31.43,"F","AL"
"210",123235,"C1507F341",4.196841172,2.609117401,"modeled",0,10,"ls",79.1999969482422,-88.35,30.98,"F","AL"
"211",123245,"C1507F343",3.648303988,2.268099513,"modeled",0,15,"",79.1999969482422,-88.35,30.98,"F","AL"
"212",123248,"C1507F344",3.207692852,1.994177738,"modeled",0,18,"",79.1999969482422,-88.35,30.98,"F","AL"
"213",123250,"C1507F345",3.24039466,2.014507995,"modeled",0,9,"",79.1999969482422,-88.35,30.98,"F","AL"
"214",123481,"C1507P061",2.270341875,1.411439759,"modeled",0,18,"sl",136,-86.46,32.5,"P","AL"
"215",123485,"C1507P062",1.677766794,1.043044127,"modeled",0,15,"",136,-86.46,32.5,"P","AL"
"216",123487,"C1507P063",1.80363688,1.121295797,"modeled",0,20,"",136,-86.46,32.5,"P","AL"
"217",123489,"C1507P064",2.189610079,1.361249932,"modeled",0,31,"",136,-86.46,32.5,"P","AL"
"218",123491,"C1507P065",1.989700451,1.236968915,"modeled",0,18,"",136,-86.46,32.5,"P","AL"
"219",123517,"C1507P091",9.460821342,5.881660177,"modeled",0,5,"sl",115,-85.32,32.4,"P","AL"
"220",123522,"C1507P092",14.71572652,9.148561157,"modeled",0,5,"",115,-85.32,32.4,"P","AL"
"221",123526,"C1507P093",7.656901898,4.760188713,"modeled",0,5,"",115,-85.32,32.4,"P","AL"
"222",123529,"C1507P094",9.308000928,5.786653865,"modeled",0,4,"",115,-85.32,32.4,"P","AL"
"223",123532,"C1507P095",5.675736299,3.528525797,"modeled",0,7,"",115,-85.32,32.4,"P","AL"
"224",123617,"C1507R021",8.861138464,5.508845727,"modeled",0,10,"sicl",NA,-87.97,32.74,"R","AL"
"225",123620,"C1507R022",7.5224934,4.676628832,"modeled",0,10,"sicl",NA,-87.97,32.74,"R","AL"
"226",123623,"C1507R023",9.137912859,5.680912494,"modeled",0,10,"sicl",NA,-87.97,32.74,"R","AL"
"227",123626,"C1507R024",9.153924756,5.690866866,"modeled",0,10,"sicl",NA,-87.97,32.74,"R","AL"
"228",123629,"C1507R025",8.967047358,5.574687804,"modeled",0,10,"sicl",NA,-87.97,32.74,"R","AL"
"229",123814,"C1507X031",2.452278093,1.524546959,"modeled",0,7,"ls",69.5999984741211,-87.19,33.01,"X","AL"
"230",123818,"C1507X032",3.275313733,2.036216693,"modeled",0,8,"",69.5999984741211,-87.19,33.01,"X","AL"
"231",123821,"C1507X033",3.0630365,1.90424691,"modeled",0,8,"",69.5999984741211,-87.19,33.01,"X","AL"
"232",123823,"C1507X034",3.189978699,1.983165097,"modeled",0,26,"",69.5999984741211,-87.19,33.01,"X","AL"
"233",123826,"C1507X035",4.421389342,2.748715854,"modeled",0,10,"",69.5999984741211,-87.19,33.01,"X","AL"
"234",123904,"C1507X101",4.126632887,2.565469893,"modeled",0,15,"ls",70,-85.76,31.06,"X","AL"
"235",123908,"C1507X102",4.804309833,2.986772163,"modeled",0,10,"ls",70,-85.76,31.06,"X","AL"
"236",123913,"C1507X103",6.734944657,4.187020804,"modeled",0,13,"ls",70,-85.76,31.06,"X","AL"
"237",123917,"C1507X104",5.96409073,3.70779171,"modeled",0,23,"ls",70,-85.76,31.06,"X","AL"
"238",123921,"C1507X105",3.548364742,2.205968683,"modeled",0,20,"ls",70,-85.76,31.06,"X","AL"
"239",124016,"C1508F021",5.118672059,3.182206758,"modeled",0,25,"ls",49,-86.17,31.02,"F","AL"
"240",124020,"C1508F022",3.72631272,2.31659645,"modeled",0,20,"ls",49,-86.17,31.02,"F","AL"
"241",124024,"C1508F023",3.085072105,1.917946137,"modeled",0,21,"ls",49,-86.17,31.02,"F","AL"
"242",124030,"C1508F024",4.696110892,2.919506396,"modeled",0,18,"ls",49,-86.17,31.02,"F","AL"
"243",124061,"C1508F041",4.15583087,5.65970637,"modeled",0,10,"",61,-88,31.87,"F","AL"
"244",124067,"C1508F042",7.843735,4.876340237,"modeled",0,8,"",61,-88,31.87,"F","AL"
"245",124071,"C1508F043",1.451884255,0.902616115,"modeled",0,6,"",61,-88,31.87,"F","AL"
"246",124075,"C1508F044",8.39143893,5.216840103,"modeled",0,7,"",61,-88,31.87,"F","AL"
